,game,opponent name,boxscore_visitor_name,boxscore_home_name,final score,centreFinalScore,opponentFinalScore,centreScoreByPeriod,opponentScoreByPeriod,centreScorePeriod1,centreScorePeriod2,centreScorePeriod3,opponentScorePeriod1,opponentScorePeriod2,opponentScorePeriod3,centreRecord,opponentRecord,gameDate,outcome,attendance,gameLocation,gameTime,homeGame,,Time Remaining,CENTRE_W,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,period number,Play Type,Shot Outcome,Team,Player,Points Earned,Time(seconds)
56,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,56,--,,,,,"ASSIST  by JOHNSON,SARAH",,,"ASSIST  by JOHNSON,SARAH",1,assist,,rhodes,sarah johnson,,
57,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,57,13:05,"MISS 3PTR by SCHAD,OLIVIA",,,,,,,"MISS 3PTR by SCHAD,OLIVIA",1,three pointer,missed,Centre,olivia schad,,785
58,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,58,--,,,,,"REBOUND DEF by JOHNSON,SARAH",,,"REBOUND DEF by JOHNSON,SARAH",1,defensive rebound,,rhodes,sarah johnson,,
59,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,59,12:58,,7,,19 (+12),"GOOD 3PTR by TODMAN,DY'NELLE(fastbreak)(in the paint)",RHODES 7-19 (-12),,"GOOD 3PTR by TODMAN,DY'NELLE(fastbreak)(in the paint)",1,three pointer,good,rhodes,dy'nelle(fastbreak) todman,3,778
60,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,60,--,,,,,"ASSIST  by JOHNSON,SARAH",,,"ASSIST  by JOHNSON,SARAH",1,assist,,rhodes,sarah johnson,,
61,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,61,12:29,"MISS LAYUP by ANDREASSEN,CAROLINE",,,,,,,"MISS LAYUP by ANDREASSEN,CAROLINE",1,layup,missed,Centre,caroline andreassen,,749
62,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,62,--,"REBOUND OFF by JUDY,MICHELE",,,,,,,"REBOUND OFF by JUDY,MICHELE",1,offensive rebound,,Centre,michele judy,,
63,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,63,12:05,,7,,21 (+14),"GOOD JUMPER by KRAMER,BAILEY",RHODES 7-21 (-14),,"GOOD JUMPER by KRAMER,BAILEY",1,jumper,good,rhodes,bailey kramer,2,725
64,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,64,11:45,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",9,,21 (+12),,CENTRE_W 9-21 (-12),,"GOOD LAYUP by HARTLAGE,MAGGIE(in the paint)",1,layup,good,Centre,maggie hartlage,2,705
65,24,rhodes,CENTREWBB,RHODES,55-68,55,68,"28, 27, 55","38, 30, 68",28,27,55,38,30,68,"10-14, 6-8","17-8, 8-6",02/27/15,Lose,125,No Location Recorded,8P,A,65,11:29,,,,,"MISS 3PTR by GOODRUM,NATALIE",,,"MISS 3PTR by GOODRUM,NATALIE",1,three pointer,missed,rhodes,natalie goodrum,,689
